Cycle number,Time (s),Name,Value,Velocity (%),Acceleration (%),Real XYZ Coordinates
1,7.981359400000002,waypoint_name,"['77', '0', '80']",70,70,"[323.1482221513642, -341.53277784863593, 80.0]"
1,8.269124099999999,waypoint_name,"['513', '0', '80']",70,70,"[631.446778748699, -33.234221251301165, 80.0]"
1,8.925175099999997,waypoint_name,"['69', '0', '80']",1,70,"[317.49136790187185, -347.1896320981283, 80.0]"
1,21.453184399999998,Vacuum,1
1,24.491979,Blowoff
1,24.721229300000005,Delay,1
